date,county,fips,cases,deaths
2021-10-15,Terrell,48443,106,3
2021-10-15,Terry,48445,2062,64
2021-10-15,Throckmorton,48447,118,6
2021-10-15,Titus,48449,5676,101
2021-10-15,Tom Green,48451,24720,372
2021-10-15,Travis,48453,117954,1387
2021-10-15,Trinity,48455,1551,59
2021-10-15,Tyler,48457,2429,68
2020-03-24,Unknown,NA,0,1
2021-10-15,Upshur,48459,5751,128
2021-10-15,Upton,48461,596,13
2021-10-15,Uvalde,48463,6269,105
2021-10-15,Val Verde,48465,10521,242
2021-10-15,Van Zandt,48467,7857,200
2021-10-15,Victoria,48469,13013,333
2021-10-15,Walker,48471,11559,176
2021-10-15,Waller,48473,6380,74
2021-10-15,Ward,48475,1872,27
2021-10-15,Washington,48477,5681,124
2021-10-15,Webb,48479,56471,965
2021-10-15,Wharton,48481,6167,174
2021-10-15,Wheeler,48483,744,13
2021-10-15,Wichita,48485,21692,476
2021-10-15,Wilbarger,48487,2278,61
2021-10-15,Willacy,48489,4653,109
2021-10-15,Williamson,48491,75034,684
2021-10-15,Wilson,48493,7404,127
2021-10-15,Winkler,48495,1161,27
2021-10-15,Wise,48497,11026,188
2021-10-15,Wood,48499,6393,215
2021-10-15,Yoakum,48501,1181,30
2021-10-15,Young,48503,2811,64
2021-10-15,Zapata,48505,2196,44
2021-10-15,Zavala,48507,2503,53
