GEOID,NAME,population,popmoe
48321,"Matagorda County, Texas",36743,NA
48323,"Maverick County, Texas",57970,NA
48325,"Medina County, Texas",49334,NA
48327,"Menard County, Texas",2123,NA
48329,"Midland County, Texas",164194,NA
48331,"Milam County, Texas",24664,NA
48333,"Mills County, Texas",4902,NA
48335,"Mitchell County, Texas",8558,NA
48337,"Montague County, Texas",19409,NA
48339,"Montgomery County, Texas",554445,NA
48341,"Moore County, Texas",21801,NA
48343,"Morris County, Texas",12424,NA
48345,"Motley County, Texas",1156,128
48347,"Nacogdoches County, Texas",65558,NA
48349,"Navarro County, Texas",48583,NA
48351,"Newton County, Texas",14057,NA
48353,"Nolan County, Texas",14966,NA
48355,"Nueces County, Texas",360486,NA
48357,"Ochiltree County, Texas",10348,NA
48359,"Oldham County, Texas",2090,NA
48361,"Orange County, Texas",84047,NA
48363,"Palo Pinto County, Texas",28317,NA
48365,"Panola County, Texas",23440,NA
48367,"Parker County, Texas",129802,NA
48369,"Parmer County, Texas",9852,NA
48371,"Pecos County, Texas",15797,NA
48373,"Polk County, Texas",47837,NA
48375,"Potter County, Texas",120899,NA
48377,"Presidio County, Texas",7123,NA
48379,"Rains County, Texas",11473,NA
48381,"Randall County, Texas",132475,NA
48383,"Reagan County, Texas",3752,NA
48385,"Real County, Texas",3389,NA
48387,"Red River County, Texas",12275,NA
48389,"Reeves County, Texas",15125,NA
48391,"Refugio County, Texas",7236,NA
48393,"Roberts County, Texas",885,125
48395,"Robertson County, Texas",16890,NA
48397,"Rockwall County, Texas",93642,NA
48399,"Runnels County, Texas",10310,NA
48401,"Rusk County, Texas",53595,NA
48403,"Sabine County, Texas",10458,NA
48405,"San Augustine County, Texas",8327,NA
48407,"San Jacinto County, Texas",27819,NA
48409,"San Patricio County, Texas",67046,NA
48411,"San Saba County, Texas",5962,NA
48413,"Schleicher County, Texas",3061,NA
48415,"Scurry County, Texas",17239,NA
48417,"Shackelford County, Texas",3311,NA
48419,"Shelby County, Texas",25478,NA
48421,"Sherman County, Texas",3058,NA
48423,"Smith County, Texas",225015,NA
48425,"Somervell County, Texas",8743,NA
48427,"Starr County, Texas",63894,NA
48429,"Stephens County, Texas",9372,NA
48431,"Sterling County, Texas",1141,137
48433,"Stonewall County, Texas",1385,118
